square_footage,bedrooms,bathrooms,price
1056.0,2.0,2.0,39.07
2600.0,4.0,5.0,120.0
1440.0,3.0,2.0,62.0
1521.0,3.0,3.0,95.0
1200.0,2.0,2.0,51.0
1170.0,2.0,2.0,38.0
2732.0,4.0,4.0,204.0
3300.0,4.0,4.0,600.0
1310.0,3.0,3.0,63.25
1020.0,6.0,6.0,370.0
1800.0,3.0,2.0,70.0
2785.0,4.0,5.0,295.0
1000.0,2.0,2.0,38.0
1100.0,2.0,2.0,40.0
2250.0,3.0,3.0,148.0
1175.0,2.0,2.0,73.5
1180.0,3.0,3.0,48.0
1540.0,3.0,3.0,60.0
2770.0,3.0,4.0,290.0
1100.0,2.0,2.0,48.0
600.0,1.0,1.0,15.0
1755.0,3.0,3.0,122.0
2800.0,4.0,5.0,380.0
1767.0,3.0,3.0,103.0
510.0,1.0,1.0,25.25
1250.0,3.0,3.0,56.0
660.0,2.0,1.0,23.1
1610.0,3.0,3.0,81.0
1151.0,2.0,2.0,48.77
1025.0,3.0,2.0,47.0
2475.0,4.0,4.0,186.0
1075.0,3.0,2.0,35.0
1760.0,3.0,2.0,123.0
1693.0,3.0,3.0,57.39
1925.0,3.0,3.0,125.0
700.0,2.0,2.0,36.0
1070.0,2.0,2.0,45.5
1724.0,3.0,3.0,125.0
1290.0,3.0,2.0,56.12
1143.0,2.0,2.0,45.0
1296.0,2.0,2.0,81.0
1254.0,3.0,3.0,38.0
600.0,1.0,1.0,38.0
660.0,1.0,1.0,48.0
1330.74,2.0,2.0,91.79
600.0,8.0,9.0,200.0
970.0,2.0,2.0,33.0
1459.0,2.0,2.0,94.82
800.0,2.0,1.0,130.0
869.0,2.0,2.0,36.0
1270.0,2.0,2.0,50.0
1670.0,3.0,3.0,99.0
2010.0,3.0,3.0,91.0
1185.0,2.0,2.0,75.0
1600.0,3.0,2.0,75.0
1200.0,2.0,2.0,44.0
3210.0,4.0,2.0,192.0
1500.0,2.0,2.0,185.0
1407.0,6.0,4.0,150.0
840.0,2.0,2.0,45.0
4395.0,3.0,3.0,240.0
845.0,2.0,2.0,55.0
5700.0,4.0,5.0,650.0
1160.0,2.0,2.0,44.0
3000.0,8.0,8.0,140.0
1100.0,2.0,2.0,62.0
1140.0,2.0,2.0,43.0
1220.0,2.0,2.0,57.0
1350.0,8.0,7.0,85.0
1005.0,2.0,2.0,36.68
500.0,3.0,3.0,100.0
1358.0,2.0,2.0,80.58
1569.0,3.0,3.0,101.0
1240.0,2.0,2.0,70.0
2089.0,3.0,3.0,140.0
1206.0,2.0,2.0,48.23
1150.0,2.0,2.0,40.0
2511.0,3.0,3.0,205.0
460.0,2.0,1.0,22.0
4400.0,6.0,6.0,250.0
1660.0,3.0,2.0,105.0
3203.5,4.0,2.0,224.5
1326.0,2.0,2.0,78.0
1325.0,3.0,2.0,60.8
1499.0,3.0,5.0,102.0
3000.0,6.0,7.0,210.0
1665.0,3.0,3.0,88.0
708.0,2.0,2.0,37.0
1060.0,2.0,2.0,58.06
710.0,6.0,6.0,160.0
1000.0,2.0,2.0,70.0
1000.0,2.0,2.0,28.88
